name,url
"The Back Care Center - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/adredir?ad_business_id=CW-LDo5LFraEaqbHGir6nQ&campaign_id=znfL9Dfjkgnte9UiPMbI8Q&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-back-care-center-dumont&request_id=4bcf2a8101ab3a29&signature=91c2475ffc7fdd6d6adc29aa4aa874fdb5e290e0d5d49c66465a6a31b9ea6490&slot=0
"Joint Effort Chiropractic - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/adredir?ad_business_id=rkbk5VeS0wbcVqdZVpbauw&campaign_id=HTVxAJ6PVd-UqzE2W59EAA&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjoint-effort-chiropractic-white-plains-3&request_id=4bcf2a8101ab3a29&signature=773aaa62a0099c698454fe66abc3a477df9bf4fb19c67039bb0d28c569ab18b8&slot=1
"Dr Laura Vilar, DC - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/adredir?ad_business_id=ZMm1R-9CcrkcZ7jOKgeG-A&campaign_id=XIa3rducn5ZucpddV7q_6A&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdr-laura-vilar-dc-bloomfield&request_id=4bcf2a8101ab3a29&signature=8ce4c7970ce5da56ed88743df7ae8c8154ac6468a23a474c066c73e04937829d&slot=2
"Urban Chiropractic - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/adredir?ad_business_id=eEhYZlOhmU6fyWKv4-pOCA&campaign_id=xs6wzrzpI0bDrzbwpJbReQ&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Furban-chiropractic-jersey-city&request_id=4bcf2a8101ab3a29&signature=3ba5e1390fdc3ffb7c882e760a8970366124b7e272b51a8badf04a0060d7ac32&slot=3
"Visionary Physical Therapy - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/adredir?ad_business_id=_YkFBal8-YXXVIUzJ9W5Yg&campaign_id=uprFgPGfLNyH8WKBJEyayg&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvisionary-physical-therapy-fairfield&request_id=4bcf2a8101ab3a29&signature=b0b5da44eec076aa407e52ff8356d2c9b66bd9574bb63bcd92657dc225605ff4&slot=4
"The Spine and Health Center - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/adredir?ad_business_id=oZrpRglCHKMU8EWHU9x8nA&campaign_id=1qOvca3Rn_aOLX3lT-t2mg&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthe-spine-and-health-center-montvale-2&request_id=4bcf2a8101ab3a29&signature=7979f753e25af871b70f4c65e519df17ed6c130ffa931fd15652a938b40cbb82&slot=5
"Access To Health Chiropractic Center - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/adredir?ad_business_id=i27VCExc-c700aIT2WJi8g&campaign_id=q1Zm0nfoMcBCikK12L2oKg&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Faccess-to-health-chiropractic-center-norwich-4&request_id=4bcf2a8101ab3a29&signature=894b9f35d999ae7014b4607a2fd49e6d60cceb753809d0ff0f3cf35b942223ef&slot=6
"Relax CT - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/adredir?ad_business_id=fjbhkiRN25qAL0i2jxPTIA&campaign_id=llteO0jCkH-kC_AjIgTnwg&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Frelax-ct-shelton&request_id=4bcf2a8101ab3a29&signature=26d96a49b7bd01fdd42c8d8f79f5195d473e62e25b892c0be39032193b8ed25a&slot=7
"Massage 8 - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/adredir?ad_business_id=eZXslwtLBrWlzMQqrFbUgg&campaign_id=aFsfDl0yU5ofVzPAlSLFUQ&click_origin=search_results&placement=vertical_0&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmassage-8-wayne&request_id=4bcf2a8101ab3a29&signature=7b4b06b7db1b80fb66dc8dc0b54da4d0d5d03eb40433fb79fb661e78d75a9430&slot=8
"Georgetown Chiropractic - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/biz/georgetown-chiropractic-wilton?osq=Chiropractors
"Ridgefield Chiropractic & Wellness Center - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/biz/ridgefield-chiropractic-and-wellness-center-ridgefield?osq=Chiropractors
"Thomas French, DC - Chiropractor - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/biz/thomas-french-dc-chiropractor-norwalk-3?osq=Chiropractors
"Ridgefield Sports Medicine - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/biz/ridgefield-sports-medicine-ridgefield-5?osq=Chiropractors
"Norwalk Sports & Spine - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/biz/norwalk-sports-and-spine-norwalk-2?osq=Chiropractors
"Danbury Chiropractic & Wellness - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/biz/danbury-chiropractic-and-wellness-danbury?osq=Chiropractors
"Back To Health Chiropractic & Acupuncture - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/biz/back-to-health-chiropractic-and-acupuncture-southbury-2?osq=Chiropractors
"Advanced Chiropractic Wellness Care - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/biz/advanced-chiropractic-wellness-care-brewster?osq=Chiropractors
"Active Health - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/biz/active-health-michael-orefice-milford-3?osq=Chiropractors
"Popowich Chiropractic & Acupuncture - Chiropractors - Fairfield County, CT, United States",https://www.yelp.com/biz/popowich-chiropractic-and-acupuncture-newtown?osq=Chiropractors
